产品参考编码,产品/名称,产品/SKU 优先级,计量单位,包装数量,位置,位置/位置名称,可用数量,预留数量,数量,库位类型,长（cm),宽(cm),高(cm),状态,仓库,货架,位置.1,层数,在手
40.21.0078-2/2,,,,,,A103050,0.0,2.0,2.0,,,,,,,,,,False
40.21.0078-1/2,,,,,,A054950,6.0,0.0,6.0,,,,,,,,,,False
40.21.0078-2/2,,,,,,A054950,7.0,0.0,7.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A054350,4.0,0.0,4.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A054350,4.0,0.0,4.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A054550,4.0,0.0,4.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A054550,4.0,0.0,4.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A054250,4.0,0.0,4.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A054250,4.0,0.0,4.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A053750,4.0,0.0,4.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A053750,4.0,0.0,4.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A054530,1.0,0.0,1.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A054530,1.0,0.0,1.0,,,,,,,,,,False
73.02.4374,,,,,,A063450,12.0,0.0,12.0,,,,,,,,,,False
73.02.4374,,,,,,A025810,12.0,0.0,12.0,,,,,,,,,,False
73.02.3669,,,,,,A025820,0.0,12.0,12.0,,,,,,,,,,False
73.02.4374,,,,,,A026210,12.0,0.0,12.0,,,,,,,,,,False
73.02.3669,,,,,,A026910,0.0,3.0,3.0,,,,,,,,,,False
73.02.3669,,,,,,A026810,11.0,0.0,11.0,,,,,,,,,,False
73.02.3669,,,,,,A026710,12.0,0.0,12.0,,,,,,,,,,False
73.02.4374,,,,,,A026920,12.0,0.0,12.0,,,,,,,,,,False
73.02.3669,,,,,,A026820,12.0,0.0,12.0,,,,,,,,,,False
73.02.3669,,,,,,A026620,12.0,0.0,12.0,,,,,,,,,,False
73.02.3669,,,,,,A026610,12.0,0.0,12.0,,,,,,,,,,False
73.02.3669,,,,,,A026720,12.0,0.0,12.0,,,,,,,,,,False
73.02.3669,,,,,,A026420,12.0,0.0,12.0,,,,,,,,,,False
73.02.3669,,,,,,A026520,12.0,0.0,12.0,,,,,,,,,,False
73.02.4374,,,,,,A027030,6.0,0.0,6.0,,,,,,,,,,False
73.02.3669,,,,,,A026510,12.0,0.0,12.0,,,,,,,,,,False
73.02.3669,,,,,,A026410,12.0,0.0,12.0,,,,,,,,,,False
73.02.3669,,,,,,A026310,12.0,0.0,12.0,,,,,,,,,,False
73.02.3669,,,,,,A026110,12.0,0.0,12.0,,,,,,,,,,False
73.02.3669,,,,,,A026320,12.0,0.0,12.0,,,,,,,,,,False
73.02.3669,,,,,,A026220,12.0,0.0,12.0,,,,,,,,,,False
73.02.3669,,,,,,A026750,6.0,0.0,6.0,,,,,,,,,,False
73.02.3669,,,,,,A026020,12.0,0.0,12.0,,,,,,,,,,False
73.02.4374,,,,,,A025920,12.0,0.0,12.0,,,,,,,,,,False
73.02.3669,,,,,,A026120,12.0,0.0,12.0,,,,,,,,,,False
73.02.3669,,,,,,A026930,10.0,0.0,10.0,,,,,,,,,,False
73.02.3669,,,,,,A042510,12.0,0.0,12.0,,,,,,,,,,False
73.02.3669,,,,,,A073250,12.0,0.0,12.0,,,,,,,,,,False
73.02.4374,,,,,,A063550,12.0,0.0,12.0,,,,,,,,,,False
73.02.3854,,,,,,A026730,4.0,0.0,4.0,,,,,,,,,,False
40.21.0237-1/4,,,,,,A067220,1.0,0.0,1.0,,,,,,,,,,False
40.21.0237-2/4,,,,,,A067220,1.0,0.0,1.0,,,,,,,,,,False
40.21.0237-3/4,,,,,,A067220,1.0,0.0,1.0,,,,,,,,,,False
40.21.0237-4/4,,,,,,A067220,1.0,0.0,1.0,,,,,,,,,,False
40.21.0203-1/3,,,,,,A032710,3.0,0.0,3.0,,,,,,,,,,False
40.21.0203-2/3,,,,,,A032710,4.0,0.0,4.0,,,,,,,,,,False
40.21.0203-3/3,,,,,,A032710,3.0,0.0,3.0,,,,,,,,,,False
40.21.0203-1/3,,,,,,A032610,4.0,0.0,4.0,,,,,,,,,,False
40.21.0203-2/3,,,,,,A032610,4.0,0.0,4.0,,,,,,,,,,False
40.21.0203-3/3,,,,,,A032610,4.0,0.0,4.0,,,,,,,,,,False
40.21.0203-1/3,,,,,,A030410,4.0,0.0,4.0,,,,,,,,,,False
40.21.0203-2/3,,,,,,A030410,4.0,0.0,4.0,,,,,,,,,,False
40.21.0203-3/3,,,,,,A030410,4.0,0.0,4.0,,,,,,,,,,False
40.21.0203-1/3,,,,,,A030610,4.0,0.0,4.0,,,,,,,,,,False
40.21.0203-2/3,,,,,,A030610,4.0,0.0,4.0,,,,,,,,,,False
40.21.0203-3/3,,,,,,A030610,4.0,0.0,4.0,,,,,,,,,,False
40.21.0203-1/3,,,,,,A030510,4.0,0.0,4.0,,,,,,,,,,False
40.21.0203-2/3,,,,,,A030510,4.0,0.0,4.0,,,,,,,,,,False
40.21.0203-3/3,,,,,,A030510,4.0,0.0,4.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A025850,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A025850,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A025750,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A025750,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A025650,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A025650,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A025550,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A025550,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A025450,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A025450,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A025350,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A025350,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A025250,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A025250,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A032210,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A032210,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A031010,3.0,0.0,3.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A031010,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-1/2,,,,,,A026540,2.0,0.0,2.0,,,,,,,,,,False
40.21.0086-2/2,,,,,,A026540,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-1/2,,,,,,A026440,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-2/2,,,,,,A026440,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-1/2,,,,,,A065810,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-2/2,,,,,,A065810,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-1/2,,,,,,A071430,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-2/2,,,,,,A071430,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-1/2,,,,,,A065730,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-2/2,,,,,,A065730,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-1/2,,,,,,A022310,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-2/2,,,,,,A022310,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-1/2,,,,,,A022210,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-2/2,,,,,,A022210,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-1/2,,,,,,A021410,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-2/2,,,,,,A021410,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-1/2,,,,,,A021710,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-2/2,,,,,,A021710,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-1/2,,,,,,A021210,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-2/2,,,,,,A021210,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-1/2,,,,,,A021610,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-2/2,,,,,,A021610,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-1/2,,,,,,A021010,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-2/2,,,,,,A021010,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-1/2,,,,,,A021110,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-2/2,,,,,,A021110,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-1/2,,,,,,A032310,3.0,0.0,3.0,,,,,,,,,,False
40.21.0086-2/2,,,,,,A032310,3.0,0.0,3.0,,,,,,,,,,False
40.21.0196-1/3,,,,,,A052520,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-2/3,,,,,,A052520,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-3/3,,,,,,A052520,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-1/3,,,,,,A052450,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-2/3,,,,,,A052450,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-3/3,,,,,,A052450,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-1/3,,,,,,A052150,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-2/3,,,,,,A052150,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-3/3,,,,,,A052150,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-1/3,,,,,,A051850,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-2/3,,,,,,A051850,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-3/3,,,,,,A051850,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-1/3,,,,,,A051350,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-2/3,,,,,,A051350,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-3/3,,,,,,A051350,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-1/3,,,,,,A051050,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-2/3,,,,,,A051050,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-3/3,,,,,,A051050,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-1/3,,,,,,A050750,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-2/3,,,,,,A050750,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-3/3,,,,,,A050750,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-1/3,,,,,,A050650,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-2/3,,,,,,A050650,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-3/3,,,,,,A050650,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-1/3,,,,,,A050350,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-2/3,,,,,,A050350,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-3/3,,,,,,A050350,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-1/3,,,,,,A050310,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-2/3,,,,,,A050310,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-3/3,,,,,,A050310,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-1/3,,,,,,A056420,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-2/3,,,,,,A056420,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-3/3,,,,,,A056420,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-1/3,,,,,,A012510,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-2/3,,,,,,A012510,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-3/3,,,,,,A012510,2.0,0.0,2.0,,,,,,,,,,False
40.21.0196-1/3,,,,,,A030910,1.0,0.0,1.0,,,,,,,,,,False
40.21.0196-2/3,,,,,,A030910,1.0,0.0,1.0,,,,,,,,,,False
40.21.0196-3/3,,,,,,A030910,1.0,0.0,1.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A034850,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A034850,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A034750,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A034750,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A034650,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A034650,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-1/2,,,,,,A034550,6.0,0.0,6.0,,,,,,,,,,False
40.21.0235-2/2,,,,,,A034550,6.0,0.0,6.0,,,,,,,,,,False
71.06.AMF055-1/3,,,,,,D111740,1.0,0.0,1.0,,,,,,,,,,False
71.06.AMF055-2/3,,,,,,D111740,1.0,0.0,1.0,,,,,,,,,,False
71.06.AMF055-3/3,,,,,,E122230,2.0,0.0,2.0,,,,,,,,,,False
71.06.AMF008-128-1/2,,,,,,E122400,0.0,0.0,0.0,,,,,,,,,,False
71.06.AMF008-128-2/2,,,,,,E122400,0.0,0.0,0.0,,,,,,,,,,False
71.07.4682,,,,,,A085840,0.0,1.0,1.0,,,,,,,,,,False
71.03.5644,,,,,,A035850,1.0,0.0,1.0,,,,,,,,,,False
71.03.5644,,,,,,A036140,2.0,0.0,2.0,,,,,,,,,,False
71.05.4680-1/7,,,,,,A035150,4.0,0.0,4.0,,,,,,,,,,False
71.05.4680-1/7,,,,,,A036730,4.0,0.0,4.0,,,,,,,,,,False
71.05.4680-2/7,,,,,,A036740,1.0,0.0,1.0,,,,,,,,,,False
71.05.4680-2/7,,,,,,A036840,4.0,0.0,4.0,,,,,,,,,,False
71.05.4680-2/7,,,,,,A036530,4.0,0.0,4.0,,,,,,,,,,False
71.05.4680-3/7,,,,,,A035840,1.0,0.0,1.0,,,,,,,,,,False
71.05.4680-3/7,,,,,,A036130,3.0,0.0,3.0,,,,,,,,,,False
71.05.4680-3/7,,,,,,A034950,3.0,0.0,3.0,,,,,,,,,,False
71.05.4680-3/7,,,,,,A035550,3.0,0.0,3.0,,,,,,,,,,False
71.05.4680-4/7,,,,,,A037140,4.0,0.0,4.0,,,,,,,,,,False
71.05.4680-4/7,,,,,,A037230,4.0,0.0,4.0,,,,,,,,,,False
71.05.4680-5/7,,,,,,A036630,1.0,0.0,1.0,,,,,,,,,,False
71.05.4680-5/7,,,,,,A037130,4.0,0.0,4.0,,,,,,,,,,False
71.05.4680-5/7,,,,,,A037040,4.0,0.0,4.0,,,,,,,,,,False
71.05.4680-6/7,,,,,,A037030,1.0,0.0,1.0,,,,,,,,,,False
71.05.4680-6/7,,,,,,A035350,8.0,0.0,8.0,,,,,,,,,,False
71.05.4680-7/7,,,,,,A036240,1.0,0.0,1.0,,,,,,,,,,False
71.05.4680-7/7,,,,,,A036330,4.0,0.0,4.0,,,,,,,,,,False
71.05.4680-7/7,,,,,,A036040,4.0,0.0,4.0,,,,,,,,,,False
68.08.0389,,,,,,E220510,80.0,0.0,80.0,,,,,,,,,,False
52.01.ABK01,,,,,,C181000,3.0,0.0,3.0,,,,,,,,,,False
73.02.4730,,,,,,E080310,1.0,0.0,1.0,,,,,,,,,,False
68.05.0089,,,,,,E172410,0.0,0.0,0.0,,,,,,,,,,False
69.04.0147,,,,,,D114110,360.0,0.0,360.0,,,,,,,,,,False
72.23.ICS75-3/3,,,,,,D122220,4.0,0.0,4.0,,,,,,,,,,False
72.23.ICS75-1/3,,,,,,D121920,0.0,1.0,1.0,,,,,,,,,,False
72.23.ICS75-2/3,,,,,,D121920,0.0,1.0,1.0,,,,,,,,,,False
72.23.ICS75-3/3,,,,,,D121920,2.0,0.0,2.0,,,,,,,,,,False
72.23.ICS75-1/3,,,,,,E023230,4.0,0.0,4.0,,,,,,,,,,False
72.23.ICS75-2/3,,,,,,E023230,4.0,0.0,4.0,,,,,,,,,,False
72.23.ICS75-3/3,,,,,,E023230,4.0,0.0,4.0,,,,,,,,,,False
72.23.ICS75-2/3,,,,,,D120920,4.0,0.0,4.0,,,,,,,,,,False
72.23.ICS75-3/3,,,,,,D120920,4.0,0.0,4.0,,,,,,,,,,False
72.23.ICS75-1/3,,,,,,D120440,3.0,0.0,3.0,,,,,,,,,,False
72.23.ICS75-2/3,,,,,,D120440,3.0,0.0,3.0,,,,,,,,,,False
72.23.ICS75-3/3,,,,,,D120440,3.0,0.0,3.0,,,,,,,,,,False
74.07.4657,,,,,,D120110,0.0,0.0,0.0,,,,,,,,,,False
68.05.0089,,,,,,E152610,0.0,0.0,0.0,,,,,,,,,,False
72.03.5093-3/4,,,,,,D120300,6.0,0.0,6.0,,,,,,,,,,False
71.09.Y009,,,,,,E020910,1.0,0.0,1.0,,,,,,,,,,False
72.23.ICS75-1/3,,,,,,D120310,1.0,0.0,1.0,,,,,,,,,,False
68.05.0086,,,,,,E172710,0.0,0.0,0.0,,,,,,,,,,False
76.11.ALQ32,,,,,,D112920,2.0,0.0,2.0,,,,,,,,,,False
68.05.0086,,,,,,E172410,10.0,0.0,10.0,,,,,,,,,,False
75.04.3826,,,,,,D110900,0.0,0.0,0.0,,,,,,,,,,False
74.04.ICS65-3/5,,,,,,D120200,0.0,0.0,0.0,,,,,,,,,,False
74.04.ICS65-1/5,,,,,,D120200,0.0,0.0,0.0,,,,,,,,,,False
71.09.5240,,,,,,D121710,1.0,0.0,1.0,,,,,,,,,,False
71.06.AMF085-3,,,,,,D112700,1.0,0.0,1.0,,,,,,,,,,False
72.03.TKE33-3/5,,,,,,D123210,1.0,0.0,1.0,,,,,,,,,,False
72.03.TKE33-4/5,,,,,,D123210,1.0,0.0,1.0,,,,,,,,,,False
72.03.4895-2/3,,,,,,D124110,1.0,0.0,1.0,,,,,,,,,,False
72.03.4846,,,,,,D121310,1.0,0.0,1.0,,,,,,,,,,False
71.05.5348,,,,,,E032400,1.0,0.0,1.0,,,,,,,,,,False
71.05.5348,,,,,,E121100,2.0,0.0,2.0,,,,,,,,,,False
71.05.5348,,,,,,D112900,1.0,0.0,1.0,,,,,,,,,,False
72.03.3846-3/3,,,,,,E131720,1.0,0.0,1.0,,,,,,,,,,False
60.02.0147,,,,,,E061310,350.0,0.0,350.0,,,,,,,,,,False
64.12.0127,,,,,,E061810,672.0,0.0,672.0,,,,,,,,,,False
71.09.Y007,,,,,,D113110,3.0,0.0,3.0,,,,,,,,,,False
67.02.0027,,,,,,E062610,288.0,0.0,288.0,,,,,,,,,,False
71.05.5345-1/2,,,,,,E132740,2.0,0.0,2.0,,,,,,,,,,False
71.05.5345-2/2,,,,,,E132740,2.0,0.0,2.0,,,,,,,,,,False
71.01.2595-1/5,,,,,,E132100,0.0,0.0,0.0,,,,,,,,,,False
71.01.2595-2/5,,,,,,E132100,0.0,0.0,0.0,,,,,,,,,,False
71.01.2595-3/5,,,,,,E132100,0.0,0.0,0.0,,,,,,,,,,False
71.01.2595-4/5,,,,,,E132100,0.0,0.0,0.0,,,,,,,,,,False
71.01.2595-5/5,,,,,,E132100,0.0,0.0,0.0,,,,,,,,,,False
72.03.2256-1/4,,,,,,E131900,0.0,0.0,0.0,,,,,,,,,,False
40.21.0198-3/3,,,,,,E201000,0.0,0.0,0.0,,,,,,,,,,False
62.03.0274,,,,,,D141400,18.0,2.0,20.0,,,,,,,,,,False
71.01.2595-1/5,,,,,,E132300,0.0,0.0,0.0,,,,,,,,,,False
71.01.2595-2/5,,,,,,E132300,0.0,0.0,0.0,,,,,,,,,,False
71.01.2595-3/5,,,,,,E132300,0.0,0.0,0.0,,,,,,,,,,False
71.01.2595-4/5,,,,,,E132300,0.0,0.0,0.0,,,,,,,,,,False
71.01.2595-5/5,,,,,,E132300,0.0,0.0,0.0,,,,,,,,,,False
71.01.2595-1/5,,,,,,E131500,0.0,0.0,0.0,,,,,,,,,,False
71.01.2595-2/5,,,,,,E131500,0.0,0.0,0.0,,,,,,,,,,False
71.01.2595-3/5,,,,,,E131500,0.0,0.0,0.0,,,,,,,,,,False
71.01.2595-4/5,,,,,,E131500,0.0,0.0,0.0,,,,,,,,,,False
71.01.2595-5/5,,,,,,E131500,0.0,0.0,0.0,,,,,,,,,,False
71.01.2595-1/5,,,,,,E133020,2.0,0.0,2.0,,,,,,,,,,False
71.01.2595-2/5,,,,,,E133020,2.0,0.0,2.0,,,,,,,,,,False
71.01.2595-3/5,,,,,,E133020,1.0,1.0,2.0,,,,,,,,,,False
71.01.2595-4/5,,,,,,E133020,2.0,0.0,2.0,,,,,,,,,,False
71.01.2595-5/5,,,,,,E133020,1.0,1.0,2.0,,,,,,,,,,False
71.05.5348,,,,,,E131540,3.0,0.0,3.0,,,,,,,,,,False
75.02.5141-1/5,,,,,,E070910,0.0,0.0,0.0,,,,,,,,,,False
75.02.5141-4/5,,,,,,E070910,0.0,0.0,0.0,,,,,,,,,,False
61.07.0097,,,,,,E071110,250.0,0.0,250.0,,,,,,,,,,False
61.07.0105,,,,,,E071010,100.0,0.0,100.0,,,,,,,,,,False
75.02.5141-2/5,,,,,,D121010,0.0,0.0,0.0,,,,,,,,,,False
75.02.5141-3/5,,,,,,D121010,0.0,0.0,0.0,,,,,,,,,,False
75.02.5141-5/5,,,,,,D121010,0.0,0.0,0.0,,,,,,,,,,False
68.01.0296,,,,,,D212410,0.0,0.0,0.0,,,,,,,,,,False
64.17.0001,,,,,,D240610,0.0,0.0,0.0,,,,,,,,,,False
A02.13.AICC13,,,,,,E092420,0.0,0.0,0.0,,,,,,,,,,False
50.04.AICC0650,,,,,,E092530,6.0,0.0,6.0,,,,,,,,,,False
50.04.AICC0650,,,,,,E073220,6.0,1.0,7.0,,,,,,,,,,False
50.04.AICC0650,,,,,,E073320,7.0,0.0,7.0,,,,,,,,,,False
50.04.AICC0650,,,,,,E073420,8.0,0.0,8.0,,,,,,,,,,False
50.04.AICC03,,,,,,E072820,2.0,2.0,4.0,,,,,,,,,,False
50.04.AICC03,,,,,,E072920,7.0,0.0,7.0,,,,,,,,,,False
50.04.AICC03,,,,,,E073020,8.0,0.0,8.0,,,,,,,,,,False
50.04.AICC03,,,,,,E073120,8.0,0.0,8.0,,,,,,,,,,False
52.04.AICC16-8,,,,,,E092930,2.0,0.0,2.0,,,,,,,,,,False
52.04.AICC16-8,,,,,,E093030,2.0,0.0,2.0,,,,,,,,,,False
73.02.2941,,,,,,E071610,0.0,0.0,0.0,,,,,,,,,,False
64.09.0068,,,,,,D182310,24.0,0.0,24.0,,,,,,,,,,False
68.16.0002,,,,,,E241110,0.0,0.0,0.0,,,,,,,,,,False
63.03.0007,,,,,,D241400,90.0,0.0,90.0,,,,,,,,,,False
61.03.AUM01,,,,,,D180600,14.0,0.0,14.0,,,,,,,,,,False
68.13.0029,,,,,,E212600,12.0,12.0,24.0,,,,,,,,,,False
67.02.0014,,,,,,E233210,48.0,0.0,48.0,,,,,,,,,,False
65.12.0028,,,,,,E212910,120.0,24.0,144.0,,,,,,,,,,False
68.06.0012,,,,,,D242310,48.0,6.0,54.0,,,,,,,,,,False
76.10.5377,,,,,,C221810,0.0,0.0,0.0,,,,,,,,,,False
61.07.0107,,,,,,E071510,400.0,0.0,400.0,,,,,,,,,,False
68.11.0029,,,,,,D220910,0.0,0.0,0.0,,,,,,,,,,False
62.03.0245,,,,,,E212710,14.0,2.0,16.0,,,,,,,,,,False
71.06.AMF092-6,,,,,,E132940,2.0,0.0,2.0,,,,,,,,,,False
71.05.5348,,,,,,D111940,3.0,0.0,3.0,,,,,,,,,,False
71.05.5348,,,,,,D112020,2.0,0.0,2.0,,,,,,,,,,False
71.05.4310-1/5,,,,,,D112140,1.0,0.0,1.0,,,,,,,,,,False
71.05.4310-2/5,,,,,,D112140,1.0,0.0,1.0,,,,,,,,,,False
71.05.4310-3/5,,,,,,D112140,1.0,0.0,1.0,,,,,,,,,,False
71.05.4310-4/5,,,,,,D112030,1.0,0.0,1.0,,,,,,,,,,False
71.05.4310-5/5,,,,,,D112030,1.0,0.0,1.0,,,,,,,,,,False
72.13.4248-1/3,,,,,,E071710,0.0,0.0,0.0,,,,,,,,,,False
72.13.4248-2/3,,,,,,E071710,0.0,0.0,0.0,,,,,,,,,,False
72.13.4248-3/3,,,,,,E071710,0.0,0.0,0.0,,,,,,,,,,False
68.01.0280,,,,,,E060410,0.0,0.0,0.0,,,,,,,,,,False
71.06.AMF060-8,,,,,,E132500,0.0,0.0,0.0,,,,,,,,,,False
63.01.0168,,,,,,E060410,0.0,0.0,0.0,,,,,,,,,,False
71.05.5348,,,,,,E133240,4.0,0.0,4.0,,,,,,,,,,False
71.05.5348,,,,,,D112210,1.0,0.0,1.0,,,,,,,,,,False
71.06.AMF031-5,,,,,,D112520,1.0,0.0,1.0,,,,,,,,,,False
71.05.5333,,,,,,D112820,1.0,0.0,1.0,,,,,,,,,,False
73.01.3386-1/3,,,,,,D112630,2.0,0.0,2.0,,,,,,,,,,False
73.01.3386-2/3,,,,,,D112630,2.0,0.0,2.0,,,,,,,,,,False
71.04.AGD1911-1,,,,,,D113140,1.0,0.0,1.0,,,,,,,,,,False
72.03.4235-1/3,,,,,,D122110,1.0,0.0,1.0,,,,,,,,,,False
71.04.AGD1911-2,,,,,,D113440,1.0,0.0,1.0,,,,,,,,,,False
75.08.5272-2/5,,,,,,D122510,1.0,0.0,1.0,,,,,,,,,,False
71.05.5039,,,,,,E143100,1.0,0.0,1.0,,,,,,,,,,False
71.07.3918,,,,,,E123010,1.0,0.0,1.0,,,,,,,,,,False
73.01.3791-2/3,,,,,,D122910,3.0,0.0,3.0,,,,,,,,,,False
72.10.5199,,,,,,E110310,0.0,0.0,0.0,,,,,,,,,,False
61.04.T0028,,,,,,D192110,0.0,0.0,0.0,,,,,,,,,,False
67.12.0045,,,,,,C174000,0.0,0.0,0.0,,,,,,,,,,False
61.04.T0015,,,,,,E172200,0.0,0.0,0.0,,,,,,,,,,False
73.02.3793-1/2,,,,,,E133210,4.0,0.0,4.0,,,,,,,,,,False
73.02.3793-2/2,,,,,,E133210,3.0,0.0,3.0,,,,,,,,,,False
72.18.3893-1/2,,,,,,E132910,0.0,1.0,1.0,,,,,,,,,,False
75.08.5145-4/4,,,,,,E133110,0.0,0.0,0.0,,,,,,,,,,False
72.18.3893-2/2,,,,,,E132910,0.0,1.0,1.0,,,,,,,,,,False
71.06.AMF056-12-2/2,,,,,,E132600,0.0,0.0,0.0,,,,,,,,,,False
75.08.5145-1/4,,,,,,D120810,1.0,0.0,1.0,,,,,,,,,,False
75.08.5145-2/4,,,,,,D120810,1.0,0.0,1.0,,,,,,,,,,False
75.08.5145-3/4,,,,,,D120810,1.0,0.0,1.0,,,,,,,,,,False
71.02.3419-2/3,,,,,,D120710,0.0,0.0,0.0,,,,,,,,,,False
71.06.AMF056-12-1/2,,,,,,E132600,0.0,0.0,0.0,,,,,,,,,,False
71.06.AMF008-126-2/2,,,,,,E132900,0.0,0.0,0.0,,,,,,,,,,False
71.06.AMF008-126-1/2,,,,,,E132900,0.0,0.0,0.0,,,,,,,,,,False
71.07.2605-1/2,,,,,,D122010,1.0,0.0,1.0,,,,,,,,,,False
72.18.2939-2/2,,,,,,D122010,0.0,0.0,0.0,,,,,,,,,,False
